order_id,customer_id,order_date,amount_usd,category,product,is_subscription_order
O10034,C100006,2026-01-21,57.02,skincare,Renew Serum,False
O10037,C100007,2025-07-29,90.72,bundles,Full Routine Bundle,False
O10036,C100007,2025-10-22,100.9,bundles,Starter Ritual Kit,False
O10043,C100008,2025-09-23,51.69,wellness-tea,Detox Blend,False
O10040,C100008,2025-09-26,55.75,skincare,Dew Cream,True
O10038,C100008,2025-11-22,18.41,supplements,Daily Greens,False
O10041,C100008,2025-12-25,58.9,wellness-tea,Detox Blend,True
O10039,C100008,2025-12-28,53.05,supplements,Collagen Peptides,True
O10042,C100008,2026-02-01,51.6,supplements,Collagen Peptides,False
O10044,C100009,2025-11-21,20.92,haircare,Root Boost Drops,False
O10046,C100009,2025-12-04,58.76,haircare,Silk Repair Mask,False
O10045,C100009,2025-12-06,59.21,haircare,Gentle Wash,False
O10047,C100009,2025-12-29,43.06,haircare,Root Boost Drops,False
O10048,C100010,2025-03-23,117.96,bundles,Gift Set,False
O10050,C100010,2025-03-30,35.66,wellness-tea,Focus Blend,False
O10049,C100010,2025-05-11,35.15,wellness-tea,Focus Blend,False
O10051,C100011,2026-06-20,55.28,bundles,Starter Ritual Kit,True
O10053,C100011,2026-06-21,19.94,wellness-tea,Focus Blend,True
O10052,C100011,2026-06-28,52.37,wellness-tea,Calm Blend,True
O10054,C100011,2026-06-30,44.45,wellness-tea,Calm Blend,False
O10058,C100012,2024-12-29,36.9,wellness-tea,Calm Blend,False
O10057,C100012,2025-03-26,52.88,wellness-tea,Detox Blend,False
O10055,C100012,2025-07-27,37.52,body-care,Hand Repair,False
O10056,C100012,2025-10-08,49.72,body-care,Sugar Scrub,False
O10059,C100013,2025-05-24,35.42,skincare,Clarity Cleanser,False
O10062,C100014,2024-10-30,48.42,wellness-tea,Focus Blend,False
O10064,C100014,2025-01-25,36.0,wellness-tea,Focus Blend,False
O10061,C100014,2025-07-10,36.31,wellness-tea,Calm Blend,False
O10063,C100014,2025-07-20,56.09,wellness-tea,Detox Blend,False
O10060,C100014,2025-08-06,48.85,wellness-tea,Detox Blend,False
O10069,C100015,2025-08-02,46.45,body-care,Sugar Scrub,True
O10067,C100015,2025-09-04,57.81,body-care,Sugar Scrub,True
O10072,C100015,2025-10-21,45.2,skincare,Renew Serum,False
O10066,C100015,2025-12-16,28.39,skincare,Renew Serum,True
O10070,C100015,2026-01-01,52.88,skincare,Dew Cream,True
O10065,C100015,2026-01-09,27.42,supplements,Daily Greens,False
O10068,C100015,2026-01-14,105.98,bundles,Starter Ritual Kit,False
O10071,C100015,2026-01-15,51.44,skincare,Renew Serum,True
O10074,C100016,2024-08-20,37.52,wellness-tea,Detox Blend,False
O10073,C100016,2025-08-13,53.77,wellness-tea,Calm Blend,False
O10075,C100017,2025-07-02,48.24,supplements,Omega Blend,False
O10076,C100018,2026-06-17,30.88,supplements,Collagen Peptides,False
O10078,C100019,2024-10-28,29.52,body-care,Velvet Body Butter,False
O10079,C100019,2025-01-27,119.85,bundles,Full Routine Bundle,False
O10077,C100019,2025-07-01,27.55,body-care,Velvet Body Butter,False
O10080,C100020,2025-12-24,43.04,skincare,Dew Cream,False
O10083,C100020,2026-01-10,25.3,skincare,Renew Serum,True
O10085,C100020,2026-01-12,46.87,skincare,Clarity Cleanser,False
O10081,C100020,2026-01-24,54.13,skincare,Glow SPF 40,True
O10084,C100020,2026-01-27,30.23,skincare,Dew Cream,True
O10082,C100020,2026-02-21,57.8,skincare,Dew Cream,True
O10086,C100020,2026-02-21,35.86,haircare,Gentle Wash,True
O10087,C100021,2025-03-08,47.03,bundles,Starter Ritual Kit,False
O10088,C100021,2026-01-28,62.73,bundles,Starter Ritual Kit,False
O10091,C100022,2024-12-17,19.54,body-care,Velvet Body Butter,False
O10090,C100022,2025-06-23,35.29,body-care,Sugar Scrub,False
O10089,C100022,2025-09-01,35.15,body-care,Sugar Scrub,False
O10093,C100023,2025-01-23,47.81,haircare,Root Boost Drops,False
O10094,C100023,2025-03-24,27.44,skincare,Renew Serum,False
O10092,C100023,2025-03-24,55.0,skincare,Glow SPF 40,False
O10096,C100024,2025-06-01,52.46,body-care,Sugar Scrub,False
O10097,C100024,2025-11-08,59.95,body-care,Sugar Scrub,False
O10099,C100024,2025-11-23,31.51,body-care,Velvet Body Butter,False
O10098,C100024,2026-01-05,32.5,body-care,Hand Repair,False
O10095,C100024,2026-01-11,50.45,body-care,Sugar Scrub,False
O10100,C100024,2026-02-22,27.81,body-care,Sugar Scrub,False
O10107,C100025,2024-09-05,33.06,body-care,Sugar Scrub,True
O10101,C100025,2024-10-10,40.09,body-care,Sugar Scrub,True
O10102,C100025,2024-11-06,21.14,haircare,Root Boost Drops,True
O10105,C100025,2025-01-03,49.36,haircare,Root Boost Drops,False
O10104,C100025,2025-04-06,54.64,wellness-tea,Calm Blend,True
O10109,C100025,2025-04-07,56.34,body-care,Velvet Body Butter,True
O10108,C100025,2025-07-11,25.14,haircare,Silk Repair Mask,True
O10110,C100025,2025-09-17,18.39,body-care,Sugar Scrub,False
O10111,C100025,2025-10-13,57.7,body-care,Hand Repair,True
O10103,C100025,2025-10-22,31.8,body-care,Hand Repair,False
O10106,C100025,2025-12-04,24.99,wellness-tea,Focus Blend,False
O10113,C100026,2025-07-24,44.74,skincare,Clarity Cleanser,True
O10116,C100026,2025-08-12,26.43,skincare,Clarity Cleanser,True
O10118,C100026,2025-08-12,22.84,skincare,Renew Serum,True
O10115,C100026,2025-08-16,33.32,skincare,Dew Cream,True
O10112,C100026,2025-12-02,49.3,body-care,Sugar Scrub,False
O10114,C100026,2025-12-12,44.39,haircare,Gentle Wash,True
O10117,C100026,2026-02-05,56.39,skincare,Glow SPF 40,False
O10119,C100026,2026-02-20,130.15,bundles,Gift Set,True
O10120,C100027,2024-08-11,56.44,supplements,Collagen Peptides,False
O10123,C100027,2024-09-18,75.51,bundles,Full Routine Bundle,False
O10122,C100027,2024-09-28,59.83,supplements,Daily Greens,False
O10121,C100027,2025-07-04,67.52,bundles,Full Routine Bundle,False
O10128,C100028,2025-06-11,29.65,wellness-tea,Calm Blend,False
O10127,C100028,2025-07-03,42.63,haircare,Silk Repair Mask,True
O10125,C100028,2025-07-28,21.85,wellness-tea,Calm Blend,True
O10130,C100028,2025-08-28,31.6,wellness-tea,Calm Blend,True
O10129,C100028,2025-11-02,45.76,wellness-tea,Calm Blend,True
O10126,C100028,2025-11-23,32.01,wellness-tea,Calm Blend,False
O10124,C100028,2026-02-25,40.87,supplements,Sleep Gummies,True
O10132,C100029,2024-05-14,46.82,wellness-tea,Focus Blend,False
O10133,C100029,2025-05-03,47.07,bundles,Gift Set,False
O10131,C100029,2025-07-25,99.04,bundles,Starter Ritual Kit,False
O10137,C100030,2024-07-17,79.51,bundles,Gift Set,False
O10136,C100030,2024-10-31,58.05,supplements,Omega Blend,False
O10135,C100030,2024-12-13,78.04,bundles,Starter Ritual Kit,False
O10139,C100030,2025-02-15,72.27,bundles,Gift Set,False
O10138,C100030,2025-05-03,45.14,bundles,Gift Set,False
O10134,C100030,2025-05-16,36.97,wellness-tea,Calm Blend,False
O10145,C100031,2024-12-06,35.63,body-care,Sugar Scrub,False
O10144,C100031,2025-05-31,49.12,body-care,Velvet Body Butter,False
O10142,C100031,2025-06-15,19.22,supplements,Sleep Gummies,False
O10143,C100031,2025-07-20,18.26,supplements,Collagen Peptides,False
O10140,C100031,2025-08-11,36.02,body-care,Hand Repair,False
O10141,C100031,2025-10-29,98.99,bundles,Starter Ritual Kit,False
O10146,C100032,2025-01-24,29.9,supplements,Omega Blend,False
O10150,C100033,2026-04-30,58.58,supplements,Collagen Peptides,False
O10149,C100033,2026-05-01,36.03,body-care,Sugar Scrub,False
O10147,C100033,2026-05-01,33.97,supplements,Collagen Peptides,True
O10151,C100033,2026-05-04,21.7,supplements,Daily Greens,True
O10148,C100033,2026-05-08,34.68,supplements,Daily Greens,True
O10154,C100034,2025-08-27,49.69,wellness-tea,Detox Blend,False
O10153,C100034,2025-09-02,49.88,supplements,Daily Greens,False
O10156,C100034,2025-10-09,36.47,supplements,Omega Blend,False
O10157,C100034,2025-11-14,20.36,body-care,Hand Repair,False
O10155,C100034,2025-11-16,98.3,bundles,Gift Set,False
O10152,C100034,2026-03-07,22.32,supplements,Sleep Gummies,False
O10160,C100035,2025-10-17,59.26,supplements,Daily Greens,False
O10161,C100035,2025-10-24,47.72,wellness-tea,Focus Blend,False
O10162,C100035,2025-10-26,33.66,wellness-tea,Focus Blend,False
O10159,C100035,2025-11-09,24.34,body-care,Velvet Body Butter,False
O10158,C100035,2025-12-13,56.18,wellness-tea,Detox Blend,False
O10172,C100036,2024-12-04,51.96,body-care,Sugar Scrub,False
O10163,C100036,2025-01-17,31.03,supplements,Omega Blend,True
O10166,C100036,2025-02-25,30.97,body-care,Velvet Body Butter,True
O10165,C100036,2025-06-14,123.91,bundles,Starter Ritual Kit,True
O10171,C100036,2025-06-16,29.97,body-care,Hand Repair,False
O10170,C100036,2025-06-24,48.29,haircare,Silk Repair Mask,True
O10164,C100036,2025-07-01,33.82,body-care,Sugar Scrub,False
O10167,C100036,2025-07-26,23.78,body-care,Velvet Body Butter,True
O10168,C100036,2025-08-04,121.25,bundles,Starter Ritual Kit,True
O10169,C100036,2025-09-12,33.82,body-care,Velvet Body Butter,True
O10173,C100037,2025-10-29,33.59,body-care,Velvet Body Butter,False
O10177,C100037,2025-11-30,19.18,body-care,Velvet Body Butter,False
O10175,C100037,2025-12-29,57.75,body-care,Velvet Body Butter,False
O10174,C100037,2025-12-30,50.05,body-care,Sugar Scrub,True
O10176,C100037,2026-03-25,20.24,body-care,Hand Repair,True
O10179,C100038,2025-03-07,37.2,body-care,Velvet Body Butter,False
O10182,C100038,2025-03-20,40.09,haircare,Gentle Wash,False
O10181,C100038,2025-05-29,41.97,haircare,Silk Repair Mask,True
O10184,C100038,2025-06-25,51.12,haircare,Root Boost Drops,True
O10180,C100038,2025-08-07,39.65,haircare,Silk Repair Mask,False
O10183,C100038,2025-08-10,37.75,haircare,Gentle Wash,True
O10186,C100038,2025-08-23,82.53,bundles,Gift Set,True
O10185,C100038,2025-09-30,109.52,bundles,Starter Ritual Kit,True
O10178,C100038,2025-10-24,50.6,haircare,Silk Repair Mask,True
O10187,C100039,2025-12-15,54.21,wellness-tea,Calm Blend,False
O10188,C100039,2026-01-01,51.57,wellness-tea,Focus Blend,False
O10189,C100039,2026-01-05,58.17,wellness-tea,Focus Blend,False
O10190,C100039,2026-01-18,56.82,supplements,Sleep Gummies,False
O10194,C100040,2025-12-21,99.21,bundles,Full Routine Bundle,True
O10197,C100040,2026-02-01,56.79,bundles,Gift Set,True
O10191,C100040,2026-03-12,43.82,supplements,Omega Blend,True
O10198,C100040,2026-04-03,80.84,bundles,Gift Set,True
O10195,C100040,2026-04-04,81.17,bundles,Full Routine Bundle,True
O10193,C100040,2026-05-10,53.64,haircare,Gentle Wash,False
O10196,C100040,2026-05-12,73.51,bundles,Full Routine Bundle,True
O10192,C100040,2026-06-24,98.51,bundles,Full Routine Bundle,True
O10200,C100041,2026-01-17,51.2,haircare,Silk Repair Mask,False
O10199,C100041,2026-03-15,51.34,haircare,Gentle Wash,False
O10202,C100042,2026-03-14,44.87,body-care,Velvet Body Butter,False
O10201,C100042,2026-05-22,37.56,body-care,Hand Repair,False
O10205,C100043,2026-03-05,32.18,body-care,Hand Repair,True
O10207,C100043,2026-03-14,44.84,body-care,Sugar Scrub,False
O10204,C100043,2026-03-28,44.92,body-care,Hand Repair,False
O10210,C100043,2026-04-03,48.17,body-care,Hand Repair,False
O10209,C100043,2026-04-21,36.46,body-care,Sugar Scrub,True
O10208,C100043,2026-05-05,28.28,wellness-tea,Detox Blend,True
O10203,C100043,2026-06-21,58.17,body-care,Sugar Scrub,True
O10206,C100043,2026-06-23,44.94,body-care,Hand Repair,True
O10214,C100044,2025-10-25,53.4,haircare,Gentle Wash,True
O10212,C100044,2025-11-21,54.92,haircare,Root Boost Drops,True
O10215,C100044,2026-02-21,23.63,haircare,Root Boost Drops,False
O10216,C100044,2026-04-18,20.15,haircare,Gentle Wash,True
O10211,C100044,2026-05-22,42.26,haircare,Root Boost Drops,True
O10213,C100044,2026-06-02,28.11,haircare,Gentle Wash,True
O10221,C100045,2025-09-08,42.52,wellness-tea,Detox Blend,False
O10218,C100045,2025-09-16,39.81,wellness-tea,Calm Blend,True
O10225,C100045,2025-12-01,26.56,supplements,Omega Blend,False
O10217,C100045,2025-12-08,43.3,haircare,Root Boost Drops,True
O10220,C100045,2026-01-25,47.77,supplements,Sleep Gummies,True
O10219,C100045,2026-01-27,24.83,supplements,Sleep Gummies,True
O10223,C100045,2026-02-15,48.29,supplements,Omega Blend,True
O10222,C100045,2026-02-28,58.62,supplements,Collagen Peptides,False
O10224,C100045,2026-03-15,47.42,supplements,Collagen Peptides,True
O10226,C100045,2026-03-30,26.71,body-care,Sugar Scrub,False
O10227,C100046,2025-03-23,58.86,haircare,Root Boost Drops,False
O10228,C100046,2025-09-06,47.61,haircare,Root Boost Drops,False
O10230,C100047,2024-11-17,52.77,haircare,Root Boost Drops,False
O10229,C100047,2024-12-01,56.81,haircare,Gentle Wash,False
O10231,C100048,2025-11-04,35.09,haircare,Root Boost Drops,True
O10232,C100048,2025-11-14,45.13,skincare,Renew Serum,True
O10233,C100048,2025-11-19,56.36,skincare,Dew Cream,True
O10234,C100048,2026-02-19,51.09,wellness-tea,Calm Blend,False
O10235,C100049,2025-08-13,48.71,body-care,Hand Repair,False
O10236,C100049,2025-08-25,32.16,body-care,Sugar Scrub,False
O10237,C100049,2025-10-22,43.66,body-care,Hand Repair,False
O10239,C100049,2025-11-10,31.59,wellness-tea,Calm Blend,False
O10238,C100049,2025-12-22,31.77,body-care,Sugar Scrub,False
O10245,C100050,2025-08-08,52.81,supplements,Collagen Peptides,False
O10247,C100050,2025-08-20,21.82,wellness-tea,Detox Blend,False
O10241,C100050,2025-08-20,43.81,supplements,Collagen Peptides,False
O10243,C100050,2025-11-22,51.68,body-care,Velvet Body Butter,False
O10246,C100050,2026-01-11,53.89,supplements,Omega Blend,False
O10240,C100050,2026-02-15,110.73,bundles,Gift Set,False
O10244,C100050,2026-03-11,40.07,skincare,Clarity Cleanser,False
O10242,C100050,2026-05-12,49.4,supplements,Sleep Gummies,False
O10256,C100051,2026-04-24,43.11,skincare,Renew Serum,True
O10249,C100051,2026-04-24,30.06,skincare,Dew Cream,False
O10252,C100051,2026-05-17,40.21,wellness-tea,Detox Blend,False
O10248,C100051,2026-06-05,47.42,skincare,Renew Serum,False
O10255,C100051,2026-06-17,45.73,skincare,Renew Serum,True
O10250,C100051,2026-06-21,33.73,wellness-tea,Focus Blend,True
O10254,C100051,2026-06-26,24.52,skincare,Dew Cream,False
O10253,C100051,2026-06-26,30.53,skincare,Glow SPF 40,True
O10251,C100051,2026-07-03,46.67,skincare,Dew Cream,True
O10257,C100052,2024-07-20,100.6,bundles,Starter Ritual Kit,False
O10258,C100052,2024-10-02,127.24,bundles,Gift Set,False
O10266,C100053,2025-08-06,28.19,body-care,Hand Repair,False
O10261,C100053,2025-09-19,53.58,wellness-tea,Calm Blend,False
O10265,C100053,2025-10-04,57.36,body-care,Hand Repair,False
O10262,C100053,2025-12-17,29.28,body-care,Hand Repair,False
O10260,C100053,2025-12-25,23.63,body-care,Velvet Body Butter,False
O10263,C100053,2026-01-08,51.8,haircare,Gentle Wash,False
O10264,C100053,2026-02-15,26.77,body-care,Sugar Scrub,False
O10259,C100053,2026-03-27,51.84,haircare,Silk Repair Mask,False
O10267,C100054,2026-01-20,68.51,bundles,Starter Ritual Kit,False
O10270,C100055,2025-02-02,25.73,haircare,Gentle Wash,False
O10274,C100055,2025-08-07,44.78,haircare,Gentle Wash,False
O10268,C100055,2025-10-28,50.06,haircare,Root Boost Drops,False
O10273,C100055,2026-02-09,24.34,haircare,Silk Repair Mask,False
O10272,C100055,2026-04-06,18.27,haircare,Silk Repair Mask,False
O10269,C100055,2026-04-18,25.07,wellness-tea,Focus Blend,False
O10271,C100055,2026-05-01,53.24,haircare,Silk Repair Mask,False
O10279,C100056,2025-04-27,38.99,skincare,Glow SPF 40,True
O10275,C100056,2025-04-30,44.03,haircare,Root Boost Drops,False
O10276,C100056,2025-05-16,58.29,haircare,Root Boost Drops,True
O10280,C100056,2025-05-22,56.6,body-care,Velvet Body Butter,True
O10278,C100056,2025-07-10,35.02,haircare,Root Boost Drops,True
O10277,C100056,2025-07-22,52.78,haircare,Silk Repair Mask,True
O10281,C100057,2025-02-02,46.44,wellness-tea,Detox Blend,False
O10283,C100058,2025-07-27,50.43,skincare,Clarity Cleanser,False
O10282,C100058,2025-09-07,57.53,supplements,Omega Blend,False
O10291,C100059,2024-04-10,44.05,supplements,Sleep Gummies,True
O10288,C100059,2024-07-21,38.71,supplements,Daily Greens,True
O10289,C100059,2024-09-26,21.23,supplements,Sleep Gummies,False
O10285,C100059,2025-02-21,32.86,supplements,Daily Greens,True
O10290,C100059,2025-07-02,26.21,supplements,Daily Greens,True
O10287,C100059,2025-07-04,42.02,haircare,Silk Repair Mask,True
O10284,C100059,2025-07-27,25.87,supplements,Omega Blend,True
O10286,C100059,2025-08-11,30.26,supplements,Omega Blend,False
O10292,C100060,2025-04-06,41.68,wellness-tea,Detox Blend,False
O10293,C100060,2025-06-19,19.13,body-care,Hand Repair,False
O10297,C100061,2026-04-17,24.99,supplements,Daily Greens,False
O10294,C100061,2026-04-21,36.86,skincare,Glow SPF 40,False
O10296,C100061,2026-05-14,47.47,supplements,Daily Greens,False
O10298,C100061,2026-05-27,58.61,wellness-tea,Focus Blend,False
O10295,C100061,2026-05-29,56.66,haircare,Gentle Wash,False
O10300,C100062,2024-06-28,31.1,body-care,Sugar Scrub,False
O10303,C100062,2024-06-28,22.59,body-care,Velvet Body Butter,False
O10302,C100062,2025-02-21,30.61,body-care,Hand Repair,False
O10301,C100062,2025-03-18,38.0,body-care,Sugar Scrub,False
O10299,C100062,2025-06-09,35.47,body-care,Velvet Body Butter,False
O10306,C100063,2025-07-14,46.17,body-care,Sugar Scrub,True
O10304,C100063,2025-08-20,47.6,body-care,Velvet Body Butter,True
O10307,C100063,2025-10-16,34.49,body-care,Velvet Body Butter,True
O10305,C100063,2025-11-05,22.27,body-care,Hand Repair,True
O10310,C100064,2025-10-02,20.25,body-care,Sugar Scrub,False
O10314,C100064,2025-10-28,30.12,body-care,Sugar Scrub,False
O10308,C100064,2025-11-19,40.57,body-care,Hand Repair,False
O10312,C100064,2025-12-19,38.65,body-care,Hand Repair,False
O10313,C100064,2026-03-12,41.75,body-care,Velvet Body Butter,False
O10309,C100064,2026-04-03,38.56,body-care,Velvet Body Butter,False
O10311,C100064,2026-04-09,52.24,body-care,Hand Repair,False
O10317,C100065,2024-12-02,26.81,haircare,Gentle Wash,False
O10320,C100065,2025-02-09,40.63,wellness-tea,Focus Blend,False
O10318,C100065,2025-02-18,44.58,body-care,Velvet Body Butter,False
O10319,C100065,2025-03-05,26.69,wellness-tea,Calm Blend,False
O10316,C100065,2025-07-20,32.64,wellness-tea,Calm Blend,False
O10315,C100065,2025-09-18,109.02,bundles,Full Routine Bundle,False
O10327,C100066,2025-05-12,29.28,wellness-tea,Focus Blend,False
O10325,C100066,2025-09-25,48.21,bundles,Full Routine Bundle,False
O10322,C100066,2025-11-01,36.98,haircare,Gentle Wash,False
O10326,C100066,2025-11-03,20.66,haircare,Gentle Wash,False
O10324,C100066,2025-12-18,57.91,haircare,Root Boost Drops,False
O10323,C100066,2026-03-02,39.66,haircare,Root Boost Drops,False
O10321,C100066,2026-03-27,38.56,wellness-tea,Detox Blend,False
O10331,C100067,2025-07-20,47.38,skincare,Dew Cream,False
O10330,C100067,2025-08-04,33.62,skincare,Dew Cream,False
O10333,C100067,2025-08-19,36.69,skincare,Renew Serum,False
O10329,C100067,2025-09-14,67.49,bundles,Full Routine Bundle,False
O10332,C100067,2025-12-08,26.96,skincare,Renew Serum,False
O10334,C100067,2026-03-18,54.13,skincare,Dew Cream,False
O10328,C100067,2026-05-18,59.66,skincare,Glow SPF 40,False
O10337,C100068,2026-03-11,23.17,haircare,Gentle Wash,False
O10341,C100068,2026-03-21,49.41,haircare,Root Boost Drops,False
O10343,C100068,2026-03-24,40.19,haircare,Silk Repair Mask,False
O10340,C100068,2026-03-28,53.58,haircare,Root Boost Drops,False
O10338,C100068,2026-04-05,23.87,haircare,Root Boost Drops,False
O10335,C100068,2026-04-20,32.75,wellness-tea,Calm Blend,False
O10336,C100068,2026-04-25,46.84,body-care,Velvet Body Butter,False
O10339,C100068,2026-04-27,43.2,haircare,Gentle Wash,False
O10342,C100068,2026-04-27,38.79,haircare,Silk Repair Mask,False
O10352,C100069,2025-07-03,51.9,body-care,Sugar Scrub,True
O10350,C100069,2025-07-07,58.03,body-care,Hand Repair,True
O10344,C100069,2025-08-03,39.28,wellness-tea,Detox Blend,False
O10353,C100069,2025-08-03,37.12,wellness-tea,Focus Blend,True
O10346,C100069,2025-08-13,40.53,haircare,Root Boost Drops,True
O10349,C100069,2025-10-17,108.04,bundles,Starter Ritual Kit,True
O10355,C100069,2025-10-31,39.37,body-care,Velvet Body Butter,False
O10347,C100069,2025-11-19,31.03,skincare,Glow SPF 40,False
O10345,C100069,2025-11-20,44.9,skincare,Dew Cream,True
O10351,C100069,2025-12-02,23.33,body-care,Sugar Scrub,False
O10348,C100069,2025-12-07,56.83,body-care,Velvet Body Butter,True
O10354,C100069,2025-12-10,28.71,body-care,Velvet Body Butter,False
O10358,C100070,2026-01-30,18.33,supplements,Collagen Peptides,True
O10357,C100070,2026-02-28,54.83,skincare,Clarity Cleanser,False
O10356,C100070,2026-03-08,55.88,supplements,Collagen Peptides,True
O10359,C100070,2026-04-08,33.47,wellness-tea,Focus Blend,False
O10362,C100071,2026-05-25,35.35,body-care,Sugar Scrub,False
O10360,C100071,2026-06-04,26.62,skincare,Dew Cream,False
O10361,C100071,2026-06-06,47.89,haircare,Silk Repair Mask,False
O10363,C100071,2026-06-07,22.01,skincare,Dew Cream,False
O10367,C100072,2026-02-11,103.99,bundles,Starter Ritual Kit,False
O10365,C100072,2026-02-17,23.07,supplements,Sleep Gummies,False
O10364,C100072,2026-04-22,22.58,body-care,Velvet Body Butter,False
O10366,C100072,2026-04-24,37.46,supplements,Daily Greens,False
O10373,C100073,2025-05-18,32.87,wellness-tea,Calm Blend,True
O10369,C100073,2025-05-30,26.32,haircare,Root Boost Drops,True
O10371,C100073,2025-06-01,21.86,haircare,Root Boost Drops,True
O10368,C100073,2025-11-30,37.41,wellness-tea,Calm Blend,True
O10370,C100073,2025-12-28,42.62,wellness-tea,Calm Blend,True
O10372,C100073,2026-04-23,42.1,wellness-tea,Detox Blend,True
O10375,C100074,2025-11-17,56.33,body-care,Hand Repair,False
O10374,C100074,2026-02-22,50.84,wellness-tea,Focus Blend,False
O10379,C100075,2026-06-10,19.18,body-care,Hand Repair,False
O10384,C100075,2026-06-12,20.5,supplements,Collagen Peptides,False
O10380,C100075,2026-06-13,41.65,body-care,Velvet Body Butter,False
O10378,C100075,2026-06-13,25.4,haircare,Gentle Wash,False
O10382,C100075,2026-06-23,43.27,body-care,Velvet Body Butter,False
O10383,C100075,2026-06-26,43.79,body-care,Velvet Body Butter,False
O10377,C100075,2026-07-18,42.18,haircare,Root Boost Drops,False
O10381,C100075,2026-07-19,40.77,wellness-tea,Calm Blend,False
O10376,C100075,2026-07-30,28.13,body-care,Hand Repair,False
O10392,C100076,2026-04-09,39.72,bundles,Full Routine Bundle,True
O10390,C100076,2026-04-10,44.72,haircare,Silk Repair Mask,False
O10388,C100076,2026-05-05,25.65,skincare,Clarity Cleanser,False
O10391,C100076,2026-05-27,18.48,wellness-tea,Calm Blend,True
O10387,C100076,2026-06-01,48.61,wellness-tea,Detox Blend,False
O10386,C100076,2026-06-17,45.95,wellness-tea,Calm Blend,True
O10389,C100076,2026-06-20,57.34,skincare,Dew Cream,True
O10385,C100076,2026-06-20,47.7,wellness-tea,Detox Blend,True
O10394,C100077,2025-06-07,48.74,haircare,Gentle Wash,False
O10393,C100077,2025-09-10,31.39,haircare,Silk Repair Mask,False
O10395,C100077,2025-09-28,59.38,haircare,Root Boost Drops,False
O10396,C100078,2026-02-01,20.29,skincare,Renew Serum,False
O10397,C100079,2026-04-08,44.96,skincare,Glow SPF 40,False
O10402,C100080,2025-05-09,57.86,supplements,Collagen Peptides,False
O10398,C100080,2025-08-31,41.25,supplements,Omega Blend,False
O10401,C100080,2025-10-04,42.0,supplements,Collagen Peptides,False
O10400,C100080,2025-11-01,21.32,supplements,Daily Greens,False
O10399,C100080,2026-02-04,119.7,bundles,Full Routine Bundle,False
O10409,C100081,2025-04-15,18.85,supplements,Sleep Gummies,True
O10403,C100081,2025-04-22,90.61,bundles,Full Routine Bundle,True
O10405,C100081,2025-05-21,109.67,bundles,Starter Ritual Kit,False
O10406,C100081,2025-10-16,54.97,body-care,Sugar Scrub,True
O10408,C100081,2025-11-02,76.17,bundles,Full Routine Bundle,True
O10407,C100081,2025-11-18,25.23,skincare,Glow SPF 40,True
O10404,C100081,2026-02-20,42.68,body-care,Sugar Scrub,True
O10411,C100082,2025-09-21,41.88,supplements,Collagen Peptides,False
O10412,C100082,2025-10-07,20.42,supplements,Daily Greens,False
O10413,C100082,2025-12-21,26.36,supplements,Sleep Gummies,False
